subflow,flow,count,guidelines_subflow,method,confidence,reason
bad_price_competitor,purchase_dispute,149,Bad Price Competitor,DIRECT,high,Name matches the ontology/guidelines subflow.
bad_price_yesterday,purchase_dispute,139,Bad Price Yesterday,DIRECT,high,Name matches the ontology/guidelines subflow.
boots_how_1,single_item_query,27,Boots FAQ,VARIANT,high,Numbered variant of boots; the guidelines document one 'Boots FAQ' playbook for all boots questions (how_N/other_N).
boots_how_2,single_item_query,43,Boots FAQ,VARIANT,high,Numbered variant of boots; the guidelines document one 'Boots FAQ' playbook for all boots questions (how_N/other_N).
boots_how_3,single_item_query,32,Boots FAQ,VARIANT,high,Numbered variant of boots; the guidelines document one 'Boots FAQ' playbook for all boots questions (how_N/other_N).
boots_how_4,single_item_query,30,Boots FAQ,VARIANT,high,Numbered variant of boots; the guidelines document one 'Boots FAQ' playbook for all boots questions (how_N/other_N).
boots_other_1,single_item_query,42,Boots FAQ,VARIANT,high,Numbered variant of boots; the guidelines document one 'Boots FAQ' playbook for all boots questions (how_N/other_N).
boots_other_2,single_item_query,36,Boots FAQ,VARIANT,high,Numbered variant of boots; the guidelines document one 'Boots FAQ' playbook for all boots questions (how_N/other_N).
boots_other_3,single_item_query,34,Boots FAQ,VARIANT,high,Numbered variant of boots; the guidelines document one 'Boots FAQ' playbook for all boots questions (how_N/other_N).
boots_other_4,single_item_query,37,Boots FAQ,VARIANT,high,Numbered variant of boots; the guidelines document one 'Boots FAQ' playbook for all boots questions (how_N/other_N).
cost,shipping_issue,243,Shipping Cost,DIRECT,high,"Joined via ontology.json: data subflow 'cost' is the ontology's entry for the guidelines subflow 'Shipping Cost' (names differ, so the naive data->guidelines name join does not get it)."
credit_card,troubleshoot_site,266,Invalid Credit Card,DIRECT,high,"Joined via ontology.json: data subflow 'credit_card' is the ontology's entry for the guidelines subflow 'Invalid Credit Card' (names differ, so the naive data->guidelines name join does not get it)."
jacket_how_1,single_item_query,29,Jacket FAQ,VARIANT,high,Numbered variant of jacket; the guidelines document one 'Jacket FAQ' playbook for all jacket questions (how_N/other_N).
jacket_how_2,single_item_query,39,Jacket FAQ,VARIANT,high,Numbered variant of jacket; the guidelines document one 'Jacket FAQ' playbook for all jacket questions (how_N/other_N).
jacket_how_3,single_item_query,28,Jacket FAQ,VARIANT,high,Numbered variant of jacket; the guidelines document one 'Jacket FAQ' playbook for all jacket questions (how_N/other_N).
jacket_how_4,single_item_query,36,Jacket FAQ,VARIANT,high,Numbered variant of jacket; the guidelines document one 'Jacket FAQ' playbook for all jacket questions (how_N/other_N).
jacket_other_1,single_item_query,29,Jacket FAQ,VARIANT,high,Numbered variant of jacket; the guidelines document one 'Jacket FAQ' playbook for all jacket questions (how_N/other_N).
jacket_other_2,single_item_query,30,Jacket FAQ,VARIANT,high,Numbered variant of jacket; the guidelines document one 'Jacket FAQ' playbook for all jacket questions (how_N/other_N).
jacket_other_3,single_item_query,27,Jacket FAQ,VARIANT,high,Numbered variant of jacket; the guidelines document one 'Jacket FAQ' playbook for all jacket questions (how_N/other_N).
jacket_other_4,single_item_query,45,Jacket FAQ,VARIANT,high,Numbered variant of jacket; the guidelines document one 'Jacket FAQ' playbook for all jacket questions (how_N/other_N).
jeans_how_1,single_item_query,31,Jeans FAQ,VARIANT,high,Numbered variant of jeans; the guidelines document one 'Jeans FAQ' playbook for all jeans questions (how_N/other_N).
jeans_how_2,single_item_query,34,Jeans FAQ,VARIANT,high,Numbered variant of jeans; the guidelines document one 'Jeans FAQ' playbook for all jeans questions (how_N/other_N).
jeans_how_3,single_item_query,28,Jeans FAQ,VARIANT,high,Numbered variant of jeans; the guidelines document one 'Jeans FAQ' playbook for all jeans questions (how_N/other_N).
jeans_how_4,single_item_query,22,Jeans FAQ,VARIANT,high,Numbered variant of jeans; the guidelines document one 'Jeans FAQ' playbook for all jeans questions (how_N/other_N).
jeans_other_1,single_item_query,33,Jeans FAQ,VARIANT,high,Numbered variant of jeans; the guidelines document one 'Jeans FAQ' playbook for all jeans questions (how_N/other_N).
jeans_other_2,single_item_query,32,Jeans FAQ,VARIANT,high,Numbered variant of jeans; the guidelines document one 'Jeans FAQ' playbook for all jeans questions (how_N/other_N).
jeans_other_3,single_item_query,40,Jeans FAQ,VARIANT,high,Numbered variant of jeans; the guidelines document one 'Jeans FAQ' playbook for all jeans questions (how_N/other_N).
jeans_other_4,single_item_query,32,Jeans FAQ,VARIANT,high,Numbered variant of jeans; the guidelines document one 'Jeans FAQ' playbook for all jeans questions (how_N/other_N).
manage,shipping_issue,248,Manage Shipping,DIRECT,high,"Joined via ontology.json: data subflow 'manage' is the ontology's entry for the guidelines subflow 'Manage Shipping' (names differ, so the naive data->guidelines name join does not get it)."
manage_cancel,order_issue,125,Manage Cancel,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_change_address,manage_account,51,Manage Change Address,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_change_name,manage_account,51,Manage Change Name,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_change_phone,manage_account,48,Manage Change Phone,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_create,order_issue,134,Manage Create,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_dispute_bill,subscription_inquiry,190,Manage Dispute Bill,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_downgrade,order_issue,123,Manage Downgrade,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_extension,subscription_inquiry,165,Manage Extension,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_pay_bill,subscription_inquiry,162,Manage Pay Bill,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_payment_method,manage_account,36,Manage Payment Method,DIRECT,high,Name matches the ontology/guidelines subflow.
manage_upgrade,order_issue,117,Manage Upgrade,DIRECT,high,Name matches the ontology/guidelines subflow.
membership_1,storewide_query,76,Membership FAQ,VARIANT,high,Numbered variant of membership; the guidelines document one 'Membership FAQ' playbook for all membership questions.
membership_2,storewide_query,65,Membership FAQ,VARIANT,high,Numbered variant of membership; the guidelines document one 'Membership FAQ' playbook for all membership questions.
membership_3,storewide_query,71,Membership FAQ,VARIANT,high,Numbered variant of membership; the guidelines document one 'Membership FAQ' playbook for all membership questions.
membership_4,storewide_query,69,Membership FAQ,VARIANT,high,Numbered variant of membership; the guidelines document one 'Membership FAQ' playbook for all membership questions.
missing,shipping_issue,261,Missing Item,DIRECT,high,"Joined via ontology.json: data subflow 'missing' is the ontology's entry for the guidelines subflow 'Missing Item' (names differ, so the naive data->guidelines name join does not get it)."
mistimed_billing_already_returned,purchase_dispute,137,Mistimed Billing Already Returned,DIRECT,high,Name matches the ontology/guidelines subflow.
mistimed_billing_never_bought,purchase_dispute,139,Mistimed Billing Never Bought,DIRECT,high,Name matches the ontology/guidelines subflow.
out_of_stock_general,purchase_dispute,140,Out-of-Stock General,DIRECT,high,Name matches the ontology/guidelines subflow.
out_of_stock_one_item,purchase_dispute,127,Out-of-Stock One Item,DIRECT,high,Name matches the ontology/guidelines subflow.
policy_1,storewide_query,69,Policy FAQ,VARIANT,high,Numbered variant of policy; the guidelines document one 'Policy FAQ' playbook for all policy questions.
policy_2,storewide_query,70,Policy FAQ,VARIANT,high,Numbered variant of policy; the guidelines document one 'Policy FAQ' playbook for all policy questions.
policy_3,storewide_query,64,Policy FAQ,VARIANT,high,Numbered variant of policy; the guidelines document one 'Policy FAQ' playbook for all policy questions.
policy_4,storewide_query,69,Policy FAQ,VARIANT,high,Numbered variant of policy; the guidelines document one 'Policy FAQ' playbook for all policy questions.
pricing_1,storewide_query,55,Pricing FAQ,VARIANT,high,Numbered variant of pricing; the guidelines document one 'Pricing FAQ' playbook for all pricing questions.
pricing_2,storewide_query,76,Pricing FAQ,VARIANT,high,Numbered variant of pricing; the guidelines document one 'Pricing FAQ' playbook for all pricing questions.
pricing_3,storewide_query,81,Pricing FAQ,VARIANT,high,Numbered variant of pricing; the guidelines document one 'Pricing FAQ' playbook for all pricing questions.
pricing_4,storewide_query,65,Pricing FAQ,VARIANT,high,Numbered variant of pricing; the guidelines document one 'Pricing FAQ' playbook for all pricing questions.
promo_code_invalid,purchase_dispute,133,Promo Code Invalid,DIRECT,high,Name matches the ontology/guidelines subflow.
promo_code_out_of_date,purchase_dispute,112,Promo Code Out of Date,DIRECT,high,Name matches the ontology/guidelines subflow.
recover_password,account_access,336,Recover Password,DIRECT,high,Name matches the ontology/guidelines subflow.
recover_username,account_access,361,Recover Username,DIRECT,high,Name matches the ontology/guidelines subflow.
refund_initiate,product_defect,176,Initiate Refund,DIRECT,high,"Joined via ontology.json: data subflow 'refund_initiate' is the ontology's entry for the guidelines subflow 'Initiate Refund' (names differ, so the naive data->guidelines name join does not get it)."
refund_status,product_defect,179,Refund Status,DIRECT,high,Name matches the ontology/guidelines subflow.
refund_update,product_defect,177,Update Refund,DIRECT,high,"Joined via ontology.json: data subflow 'refund_update' is the ontology's entry for the guidelines subflow 'Update Refund' (names differ, so the naive data->guidelines name join does not get it)."
reset_2fa,account_access,351,Reset Two-Factor Auth,DIRECT,high,"Joined via ontology.json: data subflow 'reset_2fa' is the ontology's entry for the guidelines subflow 'Reset Two-Factor Auth' (names differ, so the naive data->guidelines name join does not get it)."
return_color,product_defect,180,Return Due to Color,DIRECT,high,"Joined via ontology.json: data subflow 'return_color' is the ontology's entry for the guidelines subflow 'Return Due to Color' (names differ, so the naive data->guidelines name join does not get it)."
return_size,product_defect,191,Return Due to Size,DIRECT,high,"Joined via ontology.json: data subflow 'return_size' is the ontology's entry for the guidelines subflow 'Return Due to Size' (names differ, so the naive data->guidelines name join does not get it)."
return_stain,product_defect,167,Return Due to Stain,DIRECT,high,"Joined via ontology.json: data subflow 'return_stain' is the ontology's entry for the guidelines subflow 'Return Due to Stain' (names differ, so the naive data->guidelines name join does not get it)."
search_results,troubleshoot_site,259,Search Not Working,DIRECT,high,"Joined via ontology.json: data subflow 'search_results' is the ontology's entry for the guidelines subflow 'Search Not Working' (names differ, so the naive data->guidelines name join does not get it)."
shirt_how_1,single_item_query,34,Shirt FAQ,VARIANT,high,Numbered variant of shirt; the guidelines document one 'Shirt FAQ' playbook for all shirt questions (how_N/other_N).
shirt_how_2,single_item_query,31,Shirt FAQ,VARIANT,high,Numbered variant of shirt; the guidelines document one 'Shirt FAQ' playbook for all shirt questions (how_N/other_N).
shirt_how_3,single_item_query,30,Shirt FAQ,VARIANT,high,Numbered variant of shirt; the guidelines document one 'Shirt FAQ' playbook for all shirt questions (how_N/other_N).
shirt_how_4,single_item_query,33,Shirt FAQ,VARIANT,high,Numbered variant of shirt; the guidelines document one 'Shirt FAQ' playbook for all shirt questions (how_N/other_N).
shirt_other_1,single_item_query,33,Shirt FAQ,VARIANT,high,Numbered variant of shirt; the guidelines document one 'Shirt FAQ' playbook for all shirt questions (how_N/other_N).
shirt_other_2,single_item_query,34,Shirt FAQ,VARIANT,high,Numbered variant of shirt; the guidelines document one 'Shirt FAQ' playbook for all shirt questions (how_N/other_N).
shirt_other_3,single_item_query,27,Shirt FAQ,VARIANT,high,Numbered variant of shirt; the guidelines document one 'Shirt FAQ' playbook for all shirt questions (how_N/other_N).
shirt_other_4,single_item_query,27,Shirt FAQ,VARIANT,high,Numbered variant of shirt; the guidelines document one 'Shirt FAQ' playbook for all shirt questions (how_N/other_N).
